"ProjectID","Project Title","PAAS Code","Approval Status","Fund","PAG Value","Start Date","End Date","Country(ies)","Lead Org Unit","Theme(s)","Donor(s)","Total Expenditure","Total Contribution","Total Contribution - Total Expenditure","Total PSC"
"2023","DRC UNDP Pool Fund: Prevention, Mediation and Follow-Up of Land Based Conflicts in Djugu,Mweso and Masisi ( Eastern DRC )","C326","Approved","QXB","425,640","1-Jul-12","31-May-16","Democratic Republic of Congo","Regional Office for Africa","Risk Reduction and Rehabilitation","UNDP Multi Donor Trust Fund Office, UNDP MPTF (Multi-Partner Trust Fund)","397,192","397,192","0","25,985"
"2024","National Solidarity Programme Phase 3","D348","Approved","QXB","10,867,200","1-May-12","31-Mar-17","Afghanistan","Regional Office for Asia and the Pacific","Urban Planning and Design","MRRD Afghanistan, , MINISTRY OF RURAL REHABILITATION AND DEVELOPMENT - AFGHANISTAN","10,859,422","10,867,251","7,829","710,428"
"2029","Project Name","P-12-08-27-42","Approved","IDF","50,000","27-Aug-12","31-Dec-12","","","","","0","0","0","0"
"2041","FDM0511SWE/MTSIP-SIDA - Development of Project Accrual and Accounting System (PAAS)","P-12-09-27-83","Approved","FNE","476,500","26-Sep-11","31-Dec-12","GLOBAL","","","","0","0","0","0"
"2043","Development of structure /Master plans for nine cities in the State of Osun, Nigeria","C329","Approved","QXB","628,141","1-Apr-12","31-May-16","Nigeria","Regional Office for Africa","Urban Planning and Design","PM of Nigeria to the United Nations, PM OF NIGERIA TO THE UNITED NATIONS","627,715","627,560","-155","57,593"
"2045","Youth Empowerment for Urban Development (including youth mainstreaming)","P-12-10-08-22","Approved","FOD","40,000","8-Oct-12","31-Dec-12","GLOBAL","","","","0","0","0","0"
"2046","Youth Empowerment for Urban Development (including youth mainstreaming)","P-12-10-08-51","Approved","FOD","40,000","8-Oct-12","31-Dec-12","GLOBAL","","","","0","0","0","0"
"2047","Youth Empowerment for Urban Development (including youth mainstreaming)","P-12-10-08-3","Approved","FOD","40,000","8-Oct-12","31-Oct-12","GLOBAL","","","","0","0","0","0"
"2048","Youth Empowerment for Urban Development (including youth mainstreaming)","H146_A","Approved","FOD","92,356","8-Oct-12","29-May-17","GLOBAL","Urban Economy","Urban Economy","Ministry of Foreign Affairs of Norway , NORAD - Norway , PM of Sri Lanka to the United Nations, , GROUP OF SPONSORS, NAROTAM SEKHSARIA FOUNDATION - NSF, PM OF NORWAY TO THE UNITED NATIONS","424,881","35,148","-389,733","7,665"
"2052","Global Alliance for Prosperous Cities","P-12-10-25-54","Pending Approval","FPP","2,000,000","15-Nov-12","15-Nov-15","GLOBAL","Research and Capacity Development","Advocacy, Housing and Slum Upgrading, Research and Capacity Development , Risk Reduction and Rehabilitation, Urban Basic Services, Urban Economy, Urban Land, Legislation & Governance, Urban Planning and Design","","0","0","0","0"
"2053","Building statistical capacity to monitor the Millennium Development Goal Slum Target in the context of natural disasters and housing crisis in Africa, Asia and Latin America and the Caribbean","P-12-10-25-80","Pending Approval","ROA","440,000","1-Jan-12","31-Dec-13","","","","","0","0","0","0"
"2054","Water and Sanitation Trust Fund (Provision of adequate and safe drinking water and improved sanitation services in Mandera County, Kenya","W062","Approved","FWS","369,518","1-Jan-12","31-May-16","Kenya","Urban Basic Services","Urban Basic Services","BASF Stiftung, BASF AG","394,718","394,529","-189","28,057"
"2055","Quick Impact Project: Urban Water and Sanitation Project (UNMISS)","W063","Approved","FWS","500,000","1-Aug-12","31-May-16","South Sudan","Urban Basic Services","Urban Basic Services","UNMISS, UNMISS - INTERNAL UMOJA USE","495,695","495,695","0","32,429"
"2056","Project Development Phase for the Project; Rapid Planning - Sustainable","W064","Approved","FWS","59,131","1-Aug-12","31-Dec-13","GLOBAL","Urban Basic Services","Urban Basic Services","AT-Verband (AT-Association)","59,288","59,288","0","6,821"
"2058","The Water, Sanitation and Hygiene and Groundwater Recharge through Schools and Community Initiatives in South Asia","W065","Approved","FWS","750,000","1-Sep-12","31-May-16","Regional - Asia","Urban Basic Services","Urban Basic Services","Coca Cola - Atlanta , COCA COLA - ATLANTA","723,636","723,663","27","47,339"
"2061","Shelter Response Construction and Rehabilitation to ensure the safe return of 175 Families affected by the Tropical depression 12E in EL Salvador","F112","Approved","QXB","315,554","1-Sep-12","31-May-16","El Salvador","Regional Office for Latin America and Caribbean","Risk Reduction and Rehabilitation","United Nations Office for the Coordination of Humanitarian Affairs -(OCHA) , UNOCHA - GENEVA - INTERNAL UMOJA USE","315,630","315,554","-76","20,640"
"2062","Mainstreaming Strategic Planning Frameworks for City Development Strategy through Leadership Training","D347","Approved","QXB","150,000","15-Jul-12","31-May-16","Vietnam","Regional Office for Asia and the Pacific","Research and Capacity Development","UNDP Multi Donor Trust Fund Office, UNDP MPTF (Multi-Partner Trust Fund)","149,967","150,000","33","9,780"
"2064","Gender Equality Programme (including gender mainstreaming)","H147","Approved","FNO","1,288,302","1-Jan-12","31-Dec-16","GLOBAL","Programme Division","Cross Cutting","Ministry of Foreign Affairs of Norway , PM of Norway to the United Nations, , PM OF NORWAY TO THE UNITED NATIONS","1,483,421","1,288,302","-195,119","109,883"
"2065","GLOBAL REPORT ON HUMAN SETTLEMENTS 2013","H145","Approved","FNO","291,590","1-Jan-12","31-May-16","GLOBAL","Research and Capacity Development","Advocacy, Urban Basic Services, Urban Planning and Design","PM of Norway to the United Nations, PM OF NORWAY TO THE UNITED NATIONS, Government of Norway/ Oslo","277,675","289,544","11,869","20,569"
"2067","ASSESSMENT OF THE IMPACT OF CRIME ON URBAN ECONOMIC COMPETITIVENESS,A PILOT CASE IN ZAPOPAN MUNICIPALITY","F111","Approved","QXB","300,000","1-May-12","31-Aug-16","Mexico","Regional Office for Latin America and Caribbean","Urban Land, Legislation & Governance","Zapopan, MUNICIPAL GOVERNMENT OF ZAPOPAN","184,291","188,078","3,787","21,196"
"2068","Emergency Housing Policy and Technical Advice to the Ministry of Housing and Utilities, Libya","I006","Approved","QXB","13,750","1-Aug-12","31-Dec-13","Libyan Arab Jamahiriya","Housing and Slum Upgrading","Housing and Slum Upgrading, Risk Reduction and Rehabilitation","","0","0","0","0"
"2069","Project Development and Resource Mobilization Towards the Establishment of a Comprehensive Country Programme in Jordan in line with the Priority Areas of UN-Habitat and UNDAF 2013-2017","I007","Approved","QXB","70,000","1-Aug-12","31-Dec-13","Jordan","Regional Office for Arab States","Risk Reduction and Rehabilitation","","0","0","0","0"
"2070","THE PACIFIC REGIONAL SUPPORT PROGRAMME. : STRENGTHENING PACIFIC URBAN AGENDA IMPLEMENTATION","D355","Approved","QXB","349,600","1-Aug-12","30-Jun-15","Regional - Asia","Regional Office for Asia and the Pacific","Urban Planning and Design","IBRD/World Bank, , WORLD BANK-HQ","317,684","317,684","0","0"
"2072","SAMOA- GREATER APIA CITY DEVELOPMENT STRATEGY","D354","Approved","QXB","237,000","1-Aug-12","30-Jun-15","Samoa","Regional Office for Asia and the Pacific","Urban Planning and Design","IBRD/World Bank, , WORLD BANK-HQ","278,308","270,751","-7,557","0"
"2074","Fund Raising Support to Haiti","I008","Approved","IDF","85,000","1-Sep-12","31-May-16","Haiti","Regional Office for Latin America and Caribbean","Risk Reduction and Rehabilitation","GROUP OF SPONSORS","197,074","0","-197,074","0"
"2075","Emergency Response to Hurricane Sandy","I009","Approved","RRF","15,000","27-Oct-12","31-Dec-12","Cuba","Risk Reduction and Rehabilitation","Risk Reduction and Rehabilitation","","0","0","0","0"
"2076","TA7970: ULBAANBAATAR URBAN SERVICES AND GER AREAS DEVELOPMENT INVESTMENT PROGRAMME (ULAANBAATAR URBAN RENEWAL COMMUNITY PARTICIPATION)","D353","Approved","QXB","69,265","1-Sep-12","1-Feb-14","Mongolia","Regional Office for Asia and the Pacific","Housing and Slum Upgrading","Asian Development Bank (ADB), ASIAN DEVELOPMENT BANK - ADB","76,496","60,880","-15,616","2,492"
"2077","Indian Housing Project in Sri Lanka","D352","Approved","QXB","7,916,732","13-Jul-12","31-Dec-19","Sri Lanka","Regional Office for Asia and the Pacific","Risk Reduction and Rehabilitation","PM of India to the United Nations, , PM OF INDIA TO THE UNITED NATIONS","7,591,424","9,439,390","1,847,966","494,886"
"2078","BUILDING BACK SAFER EARLY RECOVERY PILOT PROJECT FOR SIHARA","D350","Approved","QXB","60,000","1-Aug-12","31-May-16","Nepal","Regional Office for Asia and the Pacific","Risk Reduction and Rehabilitation","IOM - Switzerland , UNDP-NEPAL","59,666","60,000","334","3,866"
"2079","Global Alliance for the Prosperity of Cities","I010","Approved","IDF","50,000","1-Nov-12","31-May-16","GLOBAL","Research and Capacity Development","Research and Capacity Development","GROUP OF SPONSORS","50,008","0","-50,008","0"
"2080","Operations of The UN-Habitat Fukuoka Office For Asia And The Pacific Region, Phase IV","D349","Approved","FOD","3,450,000","1-Jul-12","30-Jun-22","Regional - Asia","Regional Office for Asia and the Pacific","Management","PM of Japan to the United Nations, , FUKUOKA INTERNATIONAL EXCHANGE FOUNDATION - FIEF","3,421,884","3,070,000","-351,884","309,123"
"2081","Promoting Integrated and Sustainable Urban Development through Networks ) Humble Bundle_Mojang AB Funding","J090","Approved","FSE","1,859,404","1-Jan-12","31-Dec-18","GLOBAL","Urban Planning and Design","External Relations","Humble Bundle, Mojang AB, PM of Sweden to the United Nations, Swedish International Development Cooperation Agency (SIDA) , , HUMBLE BUNDLE, MOJANG AB, PM OF SWEDEN TO THE UNITED NATIONS","5,617,065","5,661,478","44,413","454,182"
"2082","SAFER AND FRIENDLY CITIES FALL ALL IN GREATER BEIRUT","C332","Approved","QXB","90,000","1-Sep-12","31-May-16","Lebanon","Urban Legislation, Land and Governance","Urban Planning and Design","UNICEF - Lebanon , UNICEF-LEBANON","97,904","125,000","27,096","0"
"2083","UN Advisory Committee of Local Authorities - UNACLA Project 2012 - 2015","J091","Approved","FSE","625,158","1-Jan-12","31-Mar-16","GLOBAL","External Relations","External Relations","PM of Norway to the United Nations, Swedish International Development Cooperation Agency (SIDA) , PM OF SWEDEN TO THE UNITED NATIONS","875,871","960,126","84,255","61,137"
"2084","Top 20 Performance Conference, Babat, Morocco","C331","Approved","QXB","317,409","1-Aug-12","31-May-16","GLOBAL","Research and Capacity Development","Research and Capacity Development","PM of Morocco to the United Nations, , PM OF THE KINGDOM OF MOROCCO TO THE UN","312,209","317,409","5,200","0"
"2085","Strengthening the Capacity of Local Administration For Service Delivery In Support of Decentralization Efforts In Liberia","C330","Approved","QXB","100,000","1-Aug-12","31-May-16","Liberia","Regional Office for Africa","Urban Land, Legislation & Governance","UNDP Res Rep Liberia, UNDP-LIBERIA","82,488","0","-82,488","9,490"
"2087","Core Evaluation Activities of the 2012-2013 Work Programme","T072","Approved","FOD","186,047","1-Jan-12","31-Dec-13","GLOBAL","Executive Office","Evaluation","PM of Sweden to the United Nations, Swedish International Development Cooperation Agency (SIDA)","211,636","211,542","-94","0"
"2089","Corporate Resource Mobilization Process and Events","T075","Approved","FNE","320,999","1-Aug-12","31-Dec-14","GLOBAL","Programme Division","Resource Mobilization","PM of Norway to the United Nations","317,953","157,645","-160,308","0"
"2090","DEVELOPING GUIDELINES ON SCHOOL SAFETY AND RESILIENT SCHOOL BUILDING CODES, MOZAMBIQUE (CROSS REF: C218; WORLD BANK FUNDING","C328","Approved","QXB","185,735","1-Aug-12","31-Aug-16","Mozambique","Regional Office for Africa","Urban Planning and Design","IBRD/World Bank, WORLD BANK-HQ, WORLD BANK-HQ","214,060","285,499","71,439","19,308"
"2093","Governance Review","T076","Approved","FNE","193,029","1-Jan-12","31-Dec-14","GLOBAL","Executive Office","Management","PM of Norway to the United Nations","138,725","95,833","-42,892","0"
"2096","Organizational Review","T077","Approved","FNE","90,000","1-Jan-12","31-Dec-14","GLOBAL","Programme Division","Management","PM of Norway to the United Nations","193,029","95,833","-97,196","0"
"2098","Governance Review","T055_C","Approved","FNE","140,538","1-Jan-12","31-Dec-14","GLOBAL","Executive Office","Management","","0","0","0","0"
"2103","Global Water Operators Partnerships Alliance Secretariat in Barcelona (GWOPA)","W066","Approved","FSP","7,078,510","1-Jan-13","31-Dec-18","GLOBAL","Urban Basic Services","Urban Basic Services","Barcelona City Council, PM of Spain to the United Nations, , BARCELONA CITY COUNCIL AJUNTAMENT DE BARCELONA, PM OF SPAIN TO THE UNITED NATIONS","7,445,922","6,769,120","-676,802","655,060"
"2108","Immediate WASH assistance addressing the lifesaving needs of 6,500 most vulnerable flood affected families in three districts of Sindh and Balochistan Provinces of Pakistan","D361","Approved","RRF","575,000","16-Oct-12","31-May-16","Pakistan","Regional Office for Asia and the Pacific","Risk Reduction and Rehabilitation","United Nations General Trust Fund, UNITED NATIONS GENERAL TRUST FUND INTERNAL UMOJA USE","522,291","575,000","52,709","34,169"
"2113","Pakistan Floods 2012 - Shelter Response in Balochistan","P-12-12-07-11","Approved","RRF","564,890","7-Dec-12","6-Jun-13","Pakistan","Regional Office for Asia and the Pacific","Risk Reduction and Rehabilitation","","0","0","0","0"
"2122","Integration of long-term IDPs into the host community in Bossaso- additional 150 housing units supplementary funding by CHF","C340","Approved","QXB","448,552","1-Dec-12","31-May-16","Somalia","Regional Office for Africa","Risk Reduction and Rehabilitation","UNOCHA - Somalia (SO), UNOCHA - SOMALIA SO - INTERNAL UMOJA USE","448,553","448,552","-1","29,345"
"2123","Support to Benadir Regional Administration's Central Department of Urban Planning","C335","Approved","QXB","209,720","1-Jan-13","31-May-16","Somalia","Regional Office for Africa","Urban Planning and Design","Department for International Development (DFID), , DEPT FOR INTERNATIONAL DEVELOPMENT DFID/ UNITED KINGDOM","203,599","209,720","6,121","13,714"
"2125","Pakistan Monsoon Humanitarian Flood Response 2012","D364","Approved","QXB","800,000","15-Dec-12","31-May-16","Pakistan","Regional Office for Asia and the Pacific","Risk Reduction and Rehabilitation","PM of Japan to the United Nations, PM OF JAPAN TO THE UNITED NATIONS","799,993","800,000","7","52,336"
"2126","National Solidarity Programme NSPIII Sub-Phase A (Rollout of remaining coummunities in Farah and Nangarhar)","D351","Approved","QXB","1,545,600","1-Jul-12","31-Mar-17","Afghanistan","Regional Office for Asia and the Pacific","Risk Reduction and Rehabilitation","MRRD Afghanistan, , MINISTRY OF RURAL REHABILITATION AND DEVELOPMENT - AFGHANISTAN","1,544,336","1,545,600","1,264","101,031"
"2127","Hargeisa Urban Water Supply Upgrading Project (HUWSUP)","C338","Approved","QXB","19,500,000","1-Jan-13","31-Dec-16","Somalia","Regional Office for Africa","Risk Reduction and Rehabilitation, Urban Basic Services, Urban Economy","European Union , , EUROPEAN UNION - DELEGATION TO KENYA","13,826,330","22,321,000","8,494,671","567,027"
"2128","Bossaso Port and Roads Infrastructure Upgrading Puntland State of Somalia","C334","Approved","QXB","2,943,458","1-Jul-12","31-Dec-17","Somalia","Regional Office for Africa","Risk Reduction and Rehabilitation","MINISTRY OF FOREIGN AFFAIRS-ITALY, PM of Italy to the United Nations, , MINISTRY OF FOREIGN AFFAIRS - ITALY, PM OF ITALY TO THE UNITED NATIONS","2,564,593","2,606,160","41,567","134,223"
"2129","Iraq Public Sector Modernisation Programme (IPSM) Phase II","N054","Approved","QXB","3,143,946","1-Jan-13","31-Dec-18","Iraq","Regional Office for Arab States","Urban Basic Services, Urban Land, Legislation & Governance","UNDP Res Rep Iraq - Amman Office, , UNDP-IRAQ","2,606,373","3,829,263","1,222,890","195,337"
"2130","Post-Disaster Support Mission","P-13-01-08-25","Pending Approval","IDF","18,000","14-Jan-13","31-Mar-13","Samoa","Regional Office for Asia and the Pacific","Risk Reduction and Rehabilitation","","0","0","0","0"
"2131","Humanitarian shelter response to address immediate life-saving shelter needs for vulnerable and extremely vulnerable flood affected people in the province of Balochistan","D362","Approved","QXB","564,890","16-Oct-12","31-May-16","Pakistan","Regional Office for Asia and the Pacific","Housing and Slum Upgrading","United Nations General Trust Fund, UNITED NATIONS GENERAL TRUST FUND INTERNAL UMOJA USE","548,806","564,890","16,084","35,903"
"2135","Establishment of UN-Habitat Bangladesh Country Programme","I011","Approved","QXB","66,809","1-Nov-12","31-May-16","Bangladesh","Regional Office for Asia and the Pacific","Urban Land, Legislation & Governance","GROUP OF SPONSORS","57,150","0","-57,150","0"
"2138","Partnerships for Safer Myanmar Initiative","D360","Approved","QXB","476,619","1-Jun-12","31-Mar-14","Myanmar","Regional Office for Asia and the Pacific","Risk Reduction and Rehabilitation","Action Aid, ACTIONAID INTERNATIONAL - UK","464,404","451,102","-13,302","30,617"
"2140","Mainstreaming and Adoption of Tools for Assesment of School and Hospitality Safety for Multi-Hazards in South Asia","D357","Approved","QXB","100,000","1-Nov-12","31-Mar-13","Regional - Asia","Regional Office for Asia and the Pacific","Risk Reduction and Rehabilitation","UNISDR, UN OFFICE FOR DISASTER RISK REDUCTION UNDRR","99,555","100,000","445","6,097"
"2141","Joint WFP- UN Habitat Initiative on Phillipine Cities and Climate Change Adaptation","D358","Approved","QXB","809,800","3-Sep-12","30-Nov-13","Philippines","Regional Office for Asia and the Pacific","Urban Planning and Design","WFP, WFP-DUBAI WORLD FOOD PROGRAMME","376,300","376,965","665","23,996"
"2143","Land Administration and Management Program (LAMP) for Myanmar","D359","Approved","QXB","2,329,736","1-Nov-12","29-Feb-16","Myanmar","Regional Office for Asia and the Pacific","Research and Capacity Development , Urban Economy, Urban Land, Legislation & Governance","United Nations Office for Project Services (UNOPS) , , UNOPS-UAE","2,099,281","2,322,139","222,858","118,626"
"2150","ROAS Sample","P-13-01-16-31","Pending Approval","IDF","150","1-Feb-13","31-Jan-14","","","","","0","0","0","0"
"2151","Pacific Cities and Climate Change Regional Programme","D365","Approved","QXB","55,000","1-Oct-12","31-Dec-12","Regional - Asia","Regional Office for Asia and the Pacific","Urban Planning and Design","UNDP Res Rep Fiji , UNDP-FIJI","55,000","54,975","-25","0"
"2152","Green growth led development strategy and solutions","D366","Approved","QXB","253,000","1-Jan-13","31-May-16","Vietnam","Regional Office for Asia and the Pacific","Urban Basic Services, Urban Economy, Urban Planning and Design","Global Green Growth Institute, PM OF THE REP. OF KOREA TO THE UN","252,666","253,000","334","22,666"
"2154","Support to the Sustainable Urban Development Sector in Kenya, 2012-2014","C339","Approved","FSE","2,329,076","1-Jan-13","31-Dec-18","Kenya","Regional Office for Africa","Research and Capacity Development , Urban Basic Services, Urban Planning and Design","PM of Sweden to the United Nations, , GROUP OF SPONSORS, PM OF SWEDEN TO THE UNITED NATIONS","3,799,843","3,700,255","-99,588","250,771"
"2155","Appui au retour et à la réintégration durables des rapatriés et retournés par la prévention et la médiation des conflits fonciers","C342","Approved","QXB","296,354","1-Jan-13","31-May-16","Democratic Republic of Congo","Regional Office for Africa","Housing and Slum Upgrading, Risk Reduction and Rehabilitation, Urban Land, Legislation & Governance","UNDP Multi Donor Trust Fund Office, , UNDP MPTF (Multi-Partner Trust Fund)","292,953","296,354","3,401","19,388"
"2156","Strengthening Urban Observatory and Statistical Systems for Urban Evident-based Development and Planning Policies in Vietnam","D363","Approved","QXB","300,000","12-Dec-12","31-Dec-17","Vietnam","Regional Office for Asia and the Pacific","Research and Capacity Development","UNDP Multi Donor Trust Fund Office, , UNDP MPTF (Multi-Partner Trust Fund)","288,001","203,365","-84,636","17,683"
"2157","Training and Capacity Development in Support to the Land Policy Initiative in Africa","G071","Approved","FOD","652,611","15-Mar-12","31-Oct-16","Regional - Africa","Urban Legislation, Land and Governance","Urban Land, Legislation & Governance","United Nations Economic Commission for Africa (UNECA), , UNITED NATIONS ECONOMIC COMMISSION FOR AFRICA - ECA - INTERNAL UMOJA USE","356,049","498,870","142,821","12,040"
"2160","Strengthening Urban Planning Capacity in Lusaka, Zambia","C343","Approved","QXB","100,000","1-Jan-13","31-May-16","Zambia","Regional Office for Africa","Urban Planning and Design","Booyoung, BOOYOUNG","122,969","577,791","454,823","14,150"
"2162","Improving living conditons in returnee areas of Sri Lanka through housing","D372","Approved","QXB","15,324,675","1-Jan-13","31-Mar-16","Sri Lanka","Regional Office for Asia and the Pacific","Risk Reduction and Rehabilitation","European Commission (EC), , EUROPEAN COMMISSION FLAGGED FOR ARCHIVING","15,540,871","15,409,557","-131,315","1,017,098"
"2164","Urban Poverty Reduction in Mexico 2011-2013 SEDESOL","P-13-02-13-75","Pending Approval","FPP","450,600","1-Sep-11","28-Aug-13","Mexico","Regional & Technical Cooperation Division","","","0","0","0","0"
"2165","Mainstreaming and Adoption of tools for the Assessment of school and hospital safety for Multi-Hazard in South Asia","P-13-02-14-19","Approved","QXB","120,000","1-Nov-12","31-Dec-12","Afghanistan, Bangladesh, Bhutan, India, Sri Lanka, Maldives, Nepal, Pakistan","","Risk Reduction and Rehabilitation","","0","0","0","0"
"2166","Cities Prosperity Initiative (2013-2015) - Corregidora Municipality","H152_A","Approved","FOD","50,000","22-Apr-13","31-Dec-15","GLOBAL","Research and Capacity Development","Research and Capacity Development","CORREGIDORA","7,501","75,000","67,499","1,818"
"2167","Joint WFP - UN-Habitat initiative on Philippine cities and climate change adapatation","P-13-02-18-86","Pending Approval","QXB","376,965","3-Sep-12","2-Sep-13","Philippines","Regional Office for Asia and the Pacific","Research and Capacity Development","","0","0","0","0"
"2168","Empowerment of Vulnerable Urban Youth for Socio-Economic Inclusion and Development in Arua Municipality","P-13-02-19-38","Approved","FOD","74,396","1-Mar-11","31-Dec-12","Uganda","","","","0","0","0","0"
"2170","Achieving Sustainable Urban Development in Mozambique - Phase I and II","A118_I","Approved","FSP","1,903,750","5-Oct-12","31-Dec-15","Mozambique","Regional Office for Africa","Urban Economy, Urban Land, Legislation & Governance, Urban Planning and Design","","1,626,757","683,350","-943,407","194,524"
"2178","Project Development and Resource Mobilization towards the establishment of project to reform Urban Planning Systems in Lebanon","I012","Approved","QXB","100,000","1-Dec-12","31-May-16","Lebanon","Regional Office for Arab States","Urban Planning and Design","GROUP OF SPONSORS","83,883","0","-83,883","0"
"2179","Emergency Response Syrian Crisis","I013","Approved","QXB","167,500","24-Dec-12","31-May-16","Syrian Arab Republic","Risk Reduction and Rehabilitation","Risk Reduction and Rehabilitation","GROUP OF SPONSORS","358,416","0","-358,416","0"
"2180","Peace Building in Darfur Through Resource Management and Livelihoods","C341","Approved","QXB","1,293,417","15-Jan-13","31-Aug-17","Sudan","Regional Office for Arab States","Urban Basic Services, Urban Land, Legislation & Governance","UNDP Multi Donor Trust Fund Office, , UNDP MPTF (Multi-Partner Trust Fund)","1,288,672","793,982","-494,690","76,356"
"2181","Post Disaster Support Mission","I014","Approved","QXB","18,000","14-Jan-13","31-Mar-13","","Risk Reduction and Rehabilitation","","","12,073","0","-12,073","0"
"2182","Supporting the Formulation of Sustainable Urban Development Programme Proposals in Africa","I015","Approved","QXB","94,000","4-Feb-12","31-May-16","Regional - Africa","Regional Office for Africa","Urban Planning and Design","GROUP OF SPONSORS","87,833","-1,756","-89,589","0"
"2183","Developpement et Planification Territoriale","C348","Approved","TAS","498,097","1-Jan-13","31-Oct-16","Madagascar","Regional Office for Africa","Urban Planning and Design","UNDP Res Rep Madagascar , UNDP-HQ","1,310,656","0","-1,310,656","84,742"
"2184","Achieving Sustainable Urban Development Priorities (OED-4608)","A118_P","Approved","FSP","1,423,267","1-Jan-13","30-Jun-15","GLOBAL","Executive Office","Management","PM of Spain to the United Nations","0","0","0","0"
"2185","REGIONAL MULTI-SECTORAL DRR ASSISTANCE PROGRAMME FOR SOUTHERN AFRICA (UN-Habitat Basc Infrastructure , Shelter and Urban Risk Assistance)","C345","Approved","QXB","769,238","1-Jan-13","31-Dec-15","Madagascar, Mozambique, Malawi","Regional Office for Africa","Risk Reduction and Rehabilitation, Urban Planning and Design","European Commission (EC), , EUROPEAN COMMISSION FLAGGED FOR ARCHIVING","769,044","769,238","194","55,037"
"2186","Sustainable Urban Reintergration of Displaced Populations in Blue Nile State","C333","Approved","QXB","1,854,809","1-Sep-12","31-Oct-16","Sudan","Regional Office for Arab States","Urban Basic Services","PM of Norway to the United Nations, , PM OF NORWAY TO THE UNITED NATIONS","1,852,536","1,854,810","2,274","121,676"
"2189","Support to transformations of the Housing Sector in Cuba","F113","Approved","QXB","756,376","1-Jun-12","31-Dec-17","Cuba","Regional Office for Latin America and Caribbean","Housing and Slum Upgrading","COSUDE, , AGENCIA SUIZA PARA DESARROLLO Y COOPERACION - OFICINA EN CUBA - COSUDE","1,275,934","1,142,357","-133,577","82,896"
"2191","Programme de securisation fonciere integree pour la reintegration et la relance communautaire a l'est de la RDC.","C352","Approved","QXB","467,290","10-Jan-13","31-Oct-16","Democratic Republic of Congo","Regional Office for Africa","Housing and Slum Upgrading, Risk Reduction and Rehabilitation, Urban Land, Legislation & Governance","UNDP Multi Donor Trust Fund Office, UNDP-HQ","448,935","0","-448,935","29,370"
"2192","Core Evaluation activities of UN-Habitat MTSIP and Work Programme 2012-2013","T074","Approved","FNE","230,000","1-Jan-12","31-Dec-14","GLOBAL","Executive Office","Evaluation","PM of Norway to the United Nations","230,433","113,083","-117,350","0"
"2193","Popular Economy of the Agglomeration Areas in Bogota","F114","Approved","FSP","1,452,000","4-Feb-13","2-Jun-17","Colombia","Regional Office for Latin America and Caribbean","Urban Economy, Urban Planning and Design","PM of Spain to the United Nations, S.D.D.E, , PM OF SPAIN TO THE UNITED NATIONS, SECRETARIA DISTRITAL DE DESARROLLO ECONOMICO - SDDE","1,616,746","1,208,000","-408,746","118,878"
"2194","Strengthening Staff Capacity / Excellence in Management","T078","Approved","FNE","90,000","1-Jun-12","31-Dec-13","GLOBAL","Management and Operations","Management","PM of Norway to the United Nations","113,898","177,770","63,872","0"
"2195","Implementation of Project Accrual and Accountability System (PAAS)","T079","Approved","FNE","479,419","24-Jan-13","31-Dec-14","GLOBAL","Management and Operations","Management","PM of Norway to the United Nations, PM of Sweden to the United Nations, Swedish International Development Cooperation Agency (SIDA)","494,928","232,736","-262,192","0"
"2197","Formulating the National Policy for the System of Cities and institutional strengthening for the Association of Colombian Capital Cities.","F118","Approved","QXB","401,060","1-Apr-13","31-Dec-17","Colombia","Regional Office for Latin America and Caribbean","Urban Land, Legislation & Governance, Urban Planning and Design","Alcaldia Mayor de Bogota D.C, DNP, Fiduoccidente, Other Third Party Payor/Payee , PM of Colombia to the United Nations, PM of Spain to the United Nations, UNDP Res Rep Colombia, , ALCALDIA MAYOR DE BOGOTA D C, ALCALDIA MAYOR DE TUNJA, FIDUCIARA DE OCCIDENTE FIDUOCCIDENTE EF 312359 FOPAE, GROUP OF SPONSORS, MINISTERIO DE AMBIENTE Y DESARROLLO SOSTENIBLE - COLOMBIA, MUNICIPIO DE SANTIAGO DE CALI, PM OF COLOMBIA TO THE UNITED NATIONS, PM OF SPAIN TO THE UNITED NATIONS","1,109,334","1,194,503","85,169","74,766"
"2198","Water Management - Developing Irrigation Associations for On-Farm Water Management Project (OFWMP)","D370","Approved","QXB","378,000","25-Mar-12","30-Jun-14","Afghanistan","Regional Office for Asia and the Pacific","Housing and Slum Upgrading","PM of Afghanistan to the United Nations, PM OF AFGHANISTAN TO THE UNITED NATIONS","378,001","378,000","-1","24,729"
"2206","Urban Development","P-13-03-25-88","Pending Approval","FPP","100,000","1-Apr-13","31-Jan-14","","","","","0","0","0","0"
"2210","Urban Planning and Territorial Management in Metropolitan Regions – Inputs for the Elaboration of the Brazilian Policy on Metropolitan Governance","P-13-03-25-27","Pending Approval","FPP","328,106","1-Apr-13","30-Apr-14","","","","","0","0","0","0"
"2213","Urban Planning and Territorial Management in Metropolitan Regions – Inputs for the Elaboration of the Brazilian Policy on Metropolitan Governance","F127","Approved","QXB","276,469","13-Dec-13","31-Aug-17","","Regional Office for Latin America and Caribbean","Urban Land, Legislation & Governance, Urban Planning and Design","PM of Brazil to the United Nations , MINISTERIO DAS CIDADES - BRASIL MCIDADES","104,900","192,937","88,037","5,109"
